Low-Income Energy Affordability Data Tool Map Export (https://www.energy.gov/eere/slsc/maps/lead-tool#)
Exported On:,12/2/2020
Building Age:,Before 1940; 1940 - 59; 1960 - 79; 1980 - 99; 2000 - 09; 2010+
Heating Fuel Type:,Utility Gas; Bottled Gas; Electricity; Fuel Oil; Coal; Wood; Solar; Other; None
Building Type:,1 unit detached; 1 unit attached; 2 units; 3 - 4 units; 5 - 9 units; 10 - 19 units; 20 - 49 units; 50+ units; Boat/RV/Van; Mobile/Trailer
Rent/Own:,Renter-occupied; Owner-occupied
SMI:,0% - 30%; 30% - 60%; 60% - 80%; 80% - 100%; 100%+

Geography ID, Name,County,Tribal Areas,Avg. Annual Energy Cost
06005000101,Census Tract Census Tract 1.01,Amador County,,3815
06015000101,Census Tract Census Tract 1.01,Del Norte County,,1574
06029000101,Census Tract Census Tract 1.01,Kern County,,1683
06043000101,Census Tract Census Tract 1.01,Mariposa County,,2579
06051000101,Census Tract Census Tract 1.01,Mono County,Benton Paiute Reservation and Off-Reservation Trust Land,3831
06053000101,Census Tract Census Tract 1.01,Monterey County,,1868
06083000101,Census Tract Census Tract 1.01,Santa Barbara County,,1149
06099000101,Census Tract Census Tract 1.01,Stanislaus County,,3388
06105000101,Census Tract Census Tract 1.01,Trinity County,,3195
06005000102,Census Tract Census Tract 1.02,Amador County,,4737
06007000102,Census Tract Census Tract 1.02,Butte County,,2027
06015000102,Census Tract Census Tract 1.02,Del Norte County,Elk Valley Rancheria and Off-Reservation Trust Land,1903
06029000102,Census Tract Census Tract 1.02,Kern County,,1662
06039000102,Census Tract Census Tract 1.02,Madera County,North Fork Rancheria and Off-Reservation Trust Land,3912
06043000102,Census Tract Census Tract 1.02,Mariposa County,,2928
06051000102,Census Tract Census Tract 1.02,Mono County,Bridgeport Reservation,3286
06053000102,Census Tract Census Tract 1.02,Monterey County,,1690
06057000102,Census Tract Census Tract 1.02,Nevada County,,2783
06083000102,Census Tract Census Tract 1.02,Santa Barbara County,,1318
06099000102,Census Tract Census Tract 1.02,Stanislaus County,,2934
06105000102,Census Tract Census Tract 1.02,Trinity County,,2457
06007000103,Census Tract Census Tract 1.03,Butte County,,2300
06039000103,Census Tract Census Tract 1.03,Madera County,,2928
06053000103,Census Tract Census Tract 1.03,Monterey County,,1342
06057000103,Census Tract Census Tract 1.03,Nevada County,,2691
06071000103,Census Tract Census Tract 1.03,San Bernardino County,,1616
